"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Example #2","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Полное обновление комментария","src/features/api/comments.positive.feature.spec.js","",""
"","30","Example #2","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Частичное обновление комментария","src/features/api/comments.positive.feature.spec.js","",""
"","31","Example #3","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Получение комментария по id","src/features/api/comments.positive.feature.spec.js","",""
"","28","Example #2","firefox","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Запрос несуществующего пользователя возвращает 404","src/features/api/users.negative.feature.spec.js","",""
"","22","Example #2","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Частичное обновление несуществующего пользователя возвращает 200","src/features/api/users.negative.feature.spec.js","",""
"","27","Example #2","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Обновление несуществующего пользователя возвращает 500","src/features/api/users.negative.feature.spec.js","",""
"","23","Example #2","chromium","2026-05-27","passed","2026-05-27","API пользователей > Создание нового пользователя","src/features/api/users.positive.feature.spec.js","",""
"","424","Добавление нескольких товаров в корзину","chromium","2026-05-27","passed","2026-05-27","Каталог товаров > Пользователь может добавить товар в корзину","src/features/ui/product.feature.spec.js","",""
"","1178","Покупка одного товара","webkit","2026-05-27","passed","2026-05-27","Покупка одного товара","src/features/e2e/purchase.single.feature.spec.js","",""
"","399","Example #1","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии для альбомов > Получение несуществующего альбома возвращает 404","src/features/api/albums.negative.feature.spec.js","",""
"","27","Получение списка пользователей","firefox","2026-05-27","passed","2026-05-27","API пользователей","src/features/api/users.positive.feature.spec.js","",""
"","19","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Получение поста по id","src/features/api/posts.positive.feature.spec.js","",""
"","914","Добавление нескольких товаров в корзину","webkit","2026-05-27","passed","2026-05-27","Каталог товаров > Пользователь может добавить товар в корзину","src/features/ui/product.feature.spec.js","",""
"","26","Example #2","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Создание нового поста","src/features/api/posts.positive.feature.spec.js","",""
"","25","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Создание нового поста","src/features/api/posts.positive.feature.spec.js","",""
"","28","Example #2","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии для комментариев > Получение несуществующего комментария возвращает 404","src/features/api/comments.negative.feature.spec.js","",""
"","23","Example #2","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Удаление комментария по id","src/features/api/comments.positive.feature.spec.js","",""
"","401","Успешный вход для пользователя ""problem""","chromium","2026-05-27","passed","2026-05-27","Авторизация пользователя > Авторизованный пользователь получает доступ к каталогу > Успешный вход для пользователя ""<user>""","src/features/ui/login.feature.spec.js","",""
"","26","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Полное обновление поста","src/features/api/posts.positive.feature.spec.js","",""
"","21","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Получение комментариев по посту","src/features/api/comments.positive.feature.spec.js","",""
"","1588","Выход из системы через боковое меню","firefox","2026-05-27","passed","2026-05-27","Навигация через меню шапки > Пользователь может завершить сессию","src/features/ui/navigation.feature.spec.js","",""
"","24","Example #2","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Создание нового комментария","src/features/api/comments.positive.feature.spec.js","",""
"","35","Example #3","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии для альбомов > Обновление несуществующего альбома возвращает 500","src/features/api/albums.negative.feature.spec.js","",""
"","32","Example #1","firefox","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Частичное обновление несуществующего пользователя возвращает 200","src/features/api/users.negative.feature.spec.js","",""
"","31","Example #2","firefox","2026-05-27","passed","2026-05-27","Негативные API сценарии для альбомов > Обновление несуществующего альбома возвращает 500","src/features/api/albums.negative.feature.spec.js","",""
"","808","Заблокированный пользователь не может войти","webkit","2026-05-27","passed","2026-05-27","Авторизация пользователя > Система запрещает доступ при неверных учётных данных","src/features/ui/login.feature.spec.js","",""
"","1131","Форма только с фамилией показывает ошибку","webkit","2026-05-27","passed","2026-05-27","Оформление заказа > Система валидирует форму оформления заказа","src/features/ui/checkout.feature.spec.js","",""
"","25","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для альбомов > Фильтрация альбомов по userId","src/features/api/albums.positive.feature.spec.js","",""
"","28","Example #2","firefox","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Частичное обновление несуществующего пользователя возвращает 200","src/features/api/users.negative.feature.spec.js","",""
"","36","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для альбомов > Полное обновление альбома","src/features/api/albums.positive.feature.spec.js","",""
"","29","Example #1","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии для постов > Обновление несуществующего поста возвращает 500","src/features/api/posts.negative.feature.spec.js","",""
"","747","Отправка формы без логина показывает ошибку","webkit","2026-05-27","passed","2026-05-27","Авторизация пользователя > Система валидирует обязательные поля формы","src/features/ui/login.feature.spec.js","",""
"","708","Успешный вход для пользователя ""error""","firefox","2026-05-27","passed","2026-05-27","Авторизация пользователя > Авторизованный пользователь получает доступ к каталогу > Успешный вход для пользователя ""<user>""","src/features/ui/login.feature.spec.js","",""
"","29","Example #2","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Получение комментария по id","src/features/api/comments.positive.feature.spec.js","",""
"","23","Example #2","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Частичное обновление комментария","src/features/api/comments.positive.feature.spec.js","",""
"","24","Example #1","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Создание нового поста","src/features/api/posts.positive.feature.spec.js","",""
"","25","Example #3","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Создание нового поста","src/features/api/posts.positive.feature.spec.js","",""
"","32","Example #3","firefox","2026-05-27","passed","2026-05-27","Негативные API сценарии для альбомов > Обновление несуществующего альбома возвращает 500","src/features/api/albums.negative.feature.spec.js","",""
"","888","Добавление товара в корзину по названию","firefox","2026-05-27","passed","2026-05-27","Каталог товаров > Пользователь может добавить товар в корзину","src/features/ui/product.feature.spec.js","",""
"","27","Example #1","webkit","2026-05-27","passed","2026-05-27","API пользователей > Создание нового пользователя","src/features/api/users.positive.feature.spec.js","",""
"","24","Example #1","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Удаление комментария по id","src/features/api/comments.positive.feature.spec.js","",""
"","22","Example #1","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Получение комментария по id","src/features/api/comments.positive.feature.spec.js","",""
"","564","Форма без почтового индекса показывает ошибку","chromium","2026-05-27","passed","2026-05-27","Оформление заказа > Система валидирует форму оформления заказа","src/features/ui/checkout.feature.spec.js","",""
"","23","Example #3","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Получение комментариев по посту","src/features/api/comments.positive.feature.spec.js","",""
"","25","Example #2","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Получение постов по фильтрации пользователя","src/features/api/posts.positive.feature.spec.js","",""
"","29","Example #1","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Частичное обновление комментария","src/features/api/comments.positive.feature.spec.js","",""
"","40","Example #1","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Обновление несуществующего пользователя возвращает 500","src/features/api/users.negative.feature.spec.js","",""
"","388","Добавление первого товара из каталога в корзину","chromium","2026-05-27","passed","2026-05-27","Каталог товаров > Пользователь может добавить товар в корзину","src/features/ui/product.feature.spec.js","",""
"","394","Добавление товара в корзину по названию","chromium","2026-05-27","passed","2026-05-27","Каталог товаров > Пользователь может добавить товар в корзину","src/features/ui/product.feature.spec.js","",""
"","835","Добавление нескольких товаров в корзину","firefox","2026-05-27","passed","2026-05-27","Каталог товаров > Пользователь может добавить товар в корзину","src/features/ui/product.feature.spec.js","",""
"","33","Example #2","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для альбомов > Фильтрация альбомов по userId","src/features/api/albums.positive.feature.spec.js","",""
"","25","Example #2","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Частичное обновление комментария","src/features/api/comments.positive.feature.spec.js","",""
"","27","Example #1","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Полное обновление поста","src/features/api/posts.positive.feature.spec.js","",""
"","22","Получение второй страницы пользователей","webkit","2026-05-27","passed","2026-05-27","API пользователей","src/features/api/users.positive.feature.spec.js","",""
"","1314","Сброс состояния приложения через боковое меню","chromium","2026-05-27","passed","2026-05-27","Навигация через меню шапки > Пользователь может сбросить состояние приложения","src/features/ui/navigation.feature.spec.js","",""
"","22","Example #2","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Создание нового поста","src/features/api/posts.positive.feature.spec.js","",""
"","29","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Частичное обновление поста по id","src/features/api/posts.positive.feature.spec.js","",""
"","748","Вход с неверным паролем запрещён","webkit","2026-05-27","passed","2026-05-27","Авторизация пользователя > Система запрещает доступ при неверных учётных данных","src/features/ui/login.feature.spec.js","",""
"","23","Example #2","chromium","2026-05-27","passed","2026-05-27","API пользователей > Получение пользователя по id","src/features/api/users.positive.feature.spec.js","",""
"","25","Example #2","chromium","2026-05-27","passed","2026-05-27","API пользователей > Полное обновление пользователя","src/features/api/users.positive.feature.spec.js","",""
"","40","Example #1","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии для комментариев > Обновление несуществующего комментария возвращает 500","src/features/api/comments.negative.feature.spec.js","",""
"","25","Example #2","firefox","2026-05-27","passed","2026-05-27","API пользователей > Пользователь содержит обязательные поля","src/features/api/users.positive.feature.spec.js","",""
"","19","Example #1","webkit","2026-05-27","passed","2026-05-27","API пользователей > Пользователь содержит обязательные поля","src/features/api/users.positive.feature.spec.js","",""
"","23","Example #2","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Удаление комментария по id","src/features/api/comments.positive.feature.spec.js","",""
"","851","Добавленный товар отображается в корзине","firefox","2026-05-27","passed","2026-05-27","Корзина > Пользователь может просматривать содержимое корзины","src/features/ui/cart.feature.spec.js","",""
"","19","Example #3","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Запрос несуществующего пользователя возвращает 404","src/features/api/users.negative.feature.spec.js","",""
"","26","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для альбомов > Получение альбома по id","src/features/api/albums.positive.feature.spec.js","",""
"","34","Example #3","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии для комментариев > Обновление несуществующего комментария возвращает 500","src/features/api/comments.negative.feature.spec.js","",""
"","1137","Форма без почтового индекса показывает ошибку","webkit","2026-05-27","passed","2026-05-27","Оформление заказа > Система валидирует форму оформления заказа","src/features/ui/checkout.feature.spec.js","",""
"","500","Переход к оформлению заказа из корзины","chromium","2026-05-27","passed","2026-05-27","Корзина > Пользователь может перейти к оформлению заказа","src/features/ui/cart.feature.spec.js","",""
"","25","Example #1","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для альбомов > Полное обновление альбома","src/features/api/albums.positive.feature.spec.js","",""
"","391","Заблокированный пользователь не может войти","chromium","2026-05-27","passed","2026-05-27","Авторизация пользователя > Система запрещает доступ при неверных учётных данных","src/features/ui/login.feature.spec.js","",""
"","2153","Покупка после удаления лишнего товара из корзины","firefox","2026-05-27","passed","2026-05-27","Покупка после удаления товара из корзины","src/features/e2e/purchase.after.remove.feature.spec.js","",""
"","943","Удаление одного из нескольких товаров из корзины","firefox","2026-05-27","passed","2026-05-27","Корзина > Пользователь может удалить товар из корзины","src/features/ui/cart.feature.spec.js","",""
"","31","Example #2","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Создание нового поста","src/features/api/posts.positive.feature.spec.js","",""
"","24","Example #2","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии для постов > Обновление несуществующего поста возвращает 500","src/features/api/posts.negative.feature.spec.js","",""
"","20","Example #2","webkit","2026-05-27","passed","2026-05-27","API пользователей > Получение пользователя по id","src/features/api/users.positive.feature.spec.js","",""
"","25","Example #2","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Создание нового комментария","src/features/api/comments.positive.feature.spec.js","",""
"","557","Форма только с именем показывает ошибку","chromium","2026-05-27","passed","2026-05-27","Оформление заказа > Система валидирует форму оформления заказа","src/features/ui/checkout.feature.spec.js","",""
"","26","Example #3","firefox","2026-05-27","passed","2026-05-27","Негативные API сценарии для постов > Обновление несуществующего поста возвращает 500","src/features/api/posts.negative.feature.spec.js","",""
"","32","Example #2","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Частичное обновление поста по id","src/features/api/posts.positive.feature.spec.js","",""
"","25","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Удаление поста по id","src/features/api/posts.positive.feature.spec.js","",""
"","25","Example #1","webkit","2026-05-27","passed","2026-05-27","API пользователей > Частичное обновление пользователя","src/features/api/users.positive.feature.spec.js","",""
"","24","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для альбомов > Частичное обновление альбома","src/features/api/albums.positive.feature.spec.js","",""
"","33","Example #1","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии для комментариев > Обновление несуществующего комментария возвращает 500","src/features/api/comments.negative.feature.spec.js","",""
"","39","Example #1","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Полное обновление комментария","src/features/api/comments.positive.feature.spec.js","",""
"","21","Example #2","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии для постов > Получение несуществующего поста возвращает 404","src/features/api/posts.negative.feature.spec.js","",""
"","885","Успешный вход для стандартного пользователя","webkit","2026-05-27","passed","2026-05-27","Авторизация пользователя > Авторизованный пользователь получает доступ к каталогу","src/features/ui/login.feature.spec.js","",""
"","26","Example #1","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Получение комментариев по посту","src/features/api/comments.positive.feature.spec.js","",""
"","28","Example #1","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Получение комментария по id","src/features/api/comments.positive.feature.spec.js","",""
"","1052","Переход к оформлению заказа из корзины","webkit","2026-05-27","passed","2026-05-27","Корзина > Пользователь может перейти к оформлению заказа","src/features/ui/cart.feature.spec.js","",""
"","32","Example #1","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для альбомов > Фильтрация альбомов по userId","src/features/api/albums.positive.feature.spec.js","",""
"","21","Example #1","webkit","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Получение поста по id","src/features/api/posts.positive.feature.spec.js","",""
"","25","Example #3","firefox","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Запрос несуществующего пользователя возвращает 404","src/features/api/users.negative.feature.spec.js","",""
"","1234","Покупка самого дешёвого товара после сортировки по цене","webkit","2026-05-27","passed","2026-05-27","Покупка товара после сортировки по цене","src/features/e2e/purchase.sorted.feature.spec.js","",""
"","32","Example #2","firefox","2026-05-27","passed","2026-05-27","API пользователей > Частичное обновление пользователя","src/features/api/users.positive.feature.spec.js","",""
"","21","Example #1","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Удаление несуществующего пользователя возвращает 200","src/features/api/users.negative.feature.spec.js","",""
"","31","Example #1","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Обновление несуществующего пользователя возвращает 500","src/features/api/users.negative.feature.spec.js","",""
"","23","Example #2","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для альбомов > Удаление альбома по id","src/features/api/albums.positive.feature.spec.js","",""
"","26","Example #1","chromium","2026-05-27","passed","2026-05-27","API пользователей > Частичное обновление пользователя","src/features/api/users.positive.feature.spec.js","",""
"","27","Example #2","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Создание нового комментария","src/features/api/comments.positive.feature.spec.js","",""
"","32","Example #2","firefox","2026-05-27","passed","2026-05-27","Негативные API сценарии для комментариев > Обновление несуществующего комментария возвращает 500","src/features/api/comments.negative.feature.spec.js","",""
"","30","Example #1","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Создание нового поста","src/features/api/posts.positive.feature.spec.js","",""
"","721","Отправка формы без пароля показывает ошибку","firefox","2026-05-27","passed","2026-05-27","Авторизация пользователя > Система валидирует обязательные поля формы","src/features/ui/login.feature.spec.js","",""
"","897","Добавление первого товара из каталога в корзину","webkit","2026-05-27","passed","2026-05-27","Каталог товаров > Пользователь может добавить товар в корзину","src/features/ui/product.feature.spec.js","",""
"","21","Example #2","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Удаление несуществующего пользователя возвращает 200","src/features/api/users.negative.feature.spec.js","",""
"","37","Example #3","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии для постов > Обновление несуществующего поста возвращает 500","src/features/api/posts.negative.feature.spec.js","",""
"","812","Успешный вход для стандартного пользователя","firefox","2026-05-27","passed","2026-05-27","Авторизация пользователя > Авторизованный пользователь получает доступ к каталогу","src/features/ui/login.feature.spec.js","",""
"","22","Example #2","chromium","2026-05-27","passed","2026-05-27","Позитивные API сценарии для комментариев > Получение комментариев по посту","src/features/api/comments.positive.feature.spec.js","",""
"","47","Example #2","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии для комментариев > Обновление несуществующего комментария возвращает 500","src/features/api/comments.negative.feature.spec.js","",""
"","25","Example #2","webkit","2026-05-27","passed","2026-05-27","API пользователей > Частичное обновление пользователя","src/features/api/users.positive.feature.spec.js","",""
"","24","Example #2","webkit","2026-05-27","passed","2026-05-27","API пользователей > Полное обновление пользователя","src/features/api/users.positive.feature.spec.js","",""
"","37","Example #3","chromium","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Обновление несуществующего пользователя возвращает 500","src/features/api/users.negative.feature.spec.js","",""
"","1104","Форма только с именем показывает ошибку","webkit","2026-05-27","passed","2026-05-27","Оформление заказа > Система валидирует форму оформления заказа","src/features/ui/checkout.feature.spec.js","",""
"","25","Example #1","firefox","2026-05-27","passed","2026-05-27","Позитивные API сценарии для постов > Получение поста по id","src/features/api/posts.positive.feature.spec.js","",""
"","19","Example #3","webkit","2026-05-27","passed","2026-05-27","Негативные API сценарии пользователей > Запрос несуществующего пользователя возвращает 404","src/features/api/users.negative.feature.spec.js","",""
